current_task,eval_task,y_true,y_pred,correct,y_pred_str,y_true_str,top_1_pred,top_2_pred,top_1_value,top_2_value,selected_prompt_idx_0,selected_prompt_idx_1,selected_prompt_idx_2,selected_prompt_idx_3,selected_prompt_idx_4,similarity_0,similarity_1,similarity_2,similarity_3,similarity_4,similarity_5,similarity_6,similarity_7,similarity_8,similarity_9
5,1,0,0,True,apple,apple,0,10,8.09514,4.396184,1,6,3,0,8,0.16079372,0.16133282,0.08573193,0.16094118,0.0852282,0.085699275,0.16099289,0.08591914,0.15615472,0.11137522
5,1,8,8,True,bicycle,bicycle,8,48,7.950789,2.6166482,8,4,2,7,5,0.19704497,0.19724973,0.20507534,0.19719258,0.20551139,0.20459576,0.19726294,0.2050458,0.24523652,0.12904568
5,1,8,8,True,bicycle,bicycle,8,16,7.8847165,2.0893161,8,1,6,3,0,0.14553617,0.14597851,0.05770943,0.14585623,0.057267666,0.057366755,0.14596531,0.05805286,0.14757411,0.072606556
5,1,4,4,True,beaver,beaver,4,21,8.441155,3.9341063,7,2,5,4,9,0.20859867,0.20826745,0.29386568,0.20814939,0.293155,0.29368785,0.20799428,0.29413462,0.20953038,0.28933012
5,1,6,6,True,bee,bee,6,14,8.517271,2.6298912,8,0,1,6,3,0.20461977,0.2045447,0.16686445,0.20448372,0.16591348,0.1668387,0.20448375,0.16702203,0.2088118,0.17387389
5,1,9,9,True,bottle,bottle,9,16,4.856929,2.5621252,0,3,6,1,8,0.3419563,0.3417969,0.26281345,0.34188235,0.2616201,0.26246434,0.3418762,0.26325715,0.3396554,0.29112193
5,1,2,35,False,girl,baby,35,11,8.036687,7.2228146,1,6,3,0,8,0.12832935,0.1287702,0.09068138,0.12839642,0.089942195,0.090339996,0.12844509,0.090931825,0.12364555,0.10945769
5,1,7,7,True,beetle,beetle,7,14,4.9852233,2.0712001,6,1,0,3,8,0.15677765,0.15680142,0.11612806,0.15676282,0.115718424,0.11613916,0.15684621,0.11644298,0.15406944,0.1336168
5,1,6,6,True,bee,bee,6,32,5.327744,1.1470052,8,1,0,3,6,0.15965055,0.15975185,0.1579872,0.15936226,0.15694922,0.15791856,0.15928674,0.15832241,0.1645729,0.15890366
5,1,0,0,True,apple,apple,0,45,4.4039836,2.4153717,8,6,3,0,1,0.080370165,0.08028192,0.040273927,0.08045541,0.040211465,0.040226985,0.08056142,0.040314205,0.08707362,0.03740473
5,1,9,9,True,bottle,bottle,9,16,7.2880864,4.248238,6,0,3,1,8,0.35697523,0.35645324,0.20819181,0.35695553,0.20669656,0.20805839,0.35701352,0.20855778,0.33849755,0.2724074
